SKU,FILIAL,VELOCIDADE_VENDA,ALVO,TRANSITO,EST_DISP,EST_TOTAL,CONT_RUPTURA,CONT_FALTA,CONT_EXCESSO,VOLUME_EXCESSO,DATA
25.05.4467-11066-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4493-0024-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1538-10056-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1538-10056-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1540-10056-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1542-50460-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1544-50460-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1558-1531-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1558-1531-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1565-10054-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1576-11055-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1591-11063-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1650-2030-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1650-2030-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1651-0105-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1651-0105-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1661-1531-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1665-1531-TAM_2,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1665-1531-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1665-1531-TAM_5,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1666-52652-TAM_2,ANIMALE ALPHAVILLE CM,0.14285714285714285,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1669-52561-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1681-11063-TAM_2,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.11.1692-11055-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.13.0116-0005-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
